        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Ascent
              s            hPa             °C              %            m/s              °              m          m/min
------------------------------------------------------------------------------------------------------------------------
            0.0         986.97         +24.54          52.29            1.0            160            0.0              0
            1.0         985.55         +24.35          51.93           10.3            193           12.7            211
            2.0         985.06         +24.34          51.72           10.3            192           17.0            209
            3.0         984.52         +24.29          51.82           10.4            193           21.8            208
            4.0         984.34         +24.24          51.97           10.5            193           23.4            208
            5.0         984.12         +24.19          52.07           10.5            193           25.4            210
            6.0         983.96         +24.13          52.22           10.5            193           26.8            212
            7.0         983.80         +24.09          52.28           10.6            193           28.2            213
            8.0         983.55         +24.04          52.29           10.6            193           30.4            214
            9.0         983.26         +24.06          52.30           10.6            193           33.0            213
           10.0         982.99         +24.05          52.30           10.7            193           35.4            214
           11.0         982.63         +23.94          52.38           10.7            193           38.6            186
           12.0         982.27         +23.94          52.49           10.7            193           41.8            185
           13.0         981.91         +23.89          52.57           10.7            193           45.0            184
           14.0         981.51         +23.88          52.65           10.7            193           48.6            191
           15.0         981.06         +23.82          52.69           10.8            193           52.6            197
           16.0         980.64         +23.74          52.84           10.8            193           56.4            205
           17.0         980.19         +23.75          52.93           10.8            194           60.4            213
           18.0         979.76         +23.69          53.01           10.9            194           64.2            218
           19.0         979.38         +23.66          53.15           10.9            194           67.6            222
           20.0         978.98         +23.61          53.24           10.9            194           71.2            226
           21.0         978.58         +23.57          53.37           10.9            194           74.8            228
           22.0         978.13         +23.53          53.43           10.9            194           78.8            229
           23.0         977.66         +23.49          53.51           11.0            194           83.0            231
           24.0         977.19         +23.46          53.67           11.1            195           87.1            233
           25.0         976.74         +23.40          53.75           11.1            195           91.1            233
           26.0         976.29         +23.33          53.94           11.2            196           95.1            234
           27.0         975.85         +23.29          54.08           11.2            196           99.1            235
           28.0         975.40         +23.25          54.23           11.2            196          103.1            236
           29.0         974.98         +23.15          54.45           11.3            196          106.9            236
           30.0         974.57         +23.07          54.57           11.3            197          110.5            236
           31.0         974.13         +23.11          54.62           11.4            197          114.5            236
           32.0         973.73         +23.09          54.60           11.4            197          118.1            234
           33.0         973.30         +23.04          54.68           11.4            198          121.9            232
           34.0         972.83         +23.03          54.78           11.4            198          126.1            230
           35.0         972.37         +22.97          54.85           11.4            198          130.3            230
           36.0         971.92         +22.94          54.97           11.4            198          134.3            230
           37.0         971.43         +22.87          55.08           11.4            198          138.7            230
           38.0         970.98         +22.82          55.26           11.4            198          142.7            232
           39.0         970.58         +22.79          55.41           11.4            198          146.3            233
           40.0         970.21         +22.74          55.56           11.4            199          149.7            236
           41.0         969.80         +22.69          55.65           11.3            199          153.3            238
           42.0         969.43         +22.67          55.76           11.3            199          156.7            242
           43.0         969.05         +22.63          55.85           11.3            199          160.1            246
           44.0         968.65         +22.59          56.00           11.3            199          163.7            249
           45.0         968.18         +22.55          56.06           11.3            199          167.9            251
           46.0         967.76         +22.49          56.16           11.3            199          171.7            254
           47.0         967.29         +22.47          56.25           11.3            199          175.9            255
           48.0         966.80         +22.42          56.41           11.3            200          180.3            257
           49.0         966.32         +22.36          56.50           11.3            200          184.7            262
           50.0         965.83         +22.32          56.66           11.3            200          189.1            268
           51.0         965.30         +22.23          56.81           11.3            200          193.9            274
           52.0         964.74         +22.21          56.96           11.3            200          198.9            279
           53.0         964.19         +22.16          57.07           11.3            200          203.9            285
           54.0         963.61         +22.12          57.25           11.3            200          209.1            290
           55.0         963.06         +22.08          57.37           11.3            201          214.1            292
           56.0         962.50         +22.02          57.51           11.3            201          219.1            296
           57.0         962.00         +22.00          57.67           11.3            201          223.7            300
           58.0         961.46         +21.93          57.71           11.2            201          228.5            303
           59.0         960.89         +21.90          57.85           11.2            201          233.7            305
           60.0         960.29         +21.86          57.97           11.2            201          239.1            308
           61.0         959.70         +21.77          58.14           11.2            201          244.4            310
           62.0         959.12         +21.74          58.35           11.2            201          249.6            311
           63.0         958.53         +21.67          58.49           11.2            201          255.0            313
           64.0         957.95         +21.64          58.58           11.2            201          260.2            314
           65.0         957.40         +21.60          58.71           11.2            201          265.2            316
           66.0         956.85         +21.54          58.90           11.2            201          270.2            319
           67.0         956.23         +21.47          59.03           11.2            201          275.8            322
           68.0         955.64         +21.43          59.24           11.2            200          281.2            324
           69.0         955.07         +21.38          59.40           11.2            200          286.4            325
           70.0         954.47         +21.33          59.50           11.2            200          291.8            326
           71.0         953.88         +21.27          59.68           11.2            200          297.2            326
           72.0         953.29         +21.22          59.78           11.2            200          302.6            328
           73.0         952.67         +21.18          59.90           11.2            200          308.2            328
           74.0         952.05         +21.13          60.08           11.2            200          313.8            329
           75.0         951.44         +21.06          60.18           11.3            200          319.4            330
           76.0         950.80         +21.01          60.39           11.3            200          325.2            331
           77.0         950.19         +20.96          60.57           11.3            200          330.8            329
           78.0         949.58         +20.87          60.69           11.3            200          336.4            329
           79.0         948.96         +20.85          60.91           11.3            200          342.0            330
           80.0         948.35         +20.80          60.99           11.3            200          347.6            330
           81.0         947.74         +20.72          61.21           11.3            200          353.2            330
           82.0         947.12         +20.67          61.37           11.4            200          358.8            330
           83.0         946.53         +20.62          61.58           11.4            200          364.2            329
           84.0         945.92         +20.57          61.73           11.4            200          369.8            328
           85.0         945.33         +20.53          61.86           11.4            200          375.2            328
           86.0         944.76         +20.45          62.06           11.4            200          380.4            327
           87.0         944.20         +20.41          62.18           11.4            200          385.6            327
           88.0         943.61         +20.35          62.32           11.5            200          390.9            327
           89.0         943.02         +20.32          62.40           11.5            200          396.3            327
           90.0         942.43         +20.27          62.51           11.5            200          401.7            327
           91.0         941.84         +20.21          62.70           11.5            200          407.1            327
           92.0         941.25         +20.17          62.79           11.5            200          412.5            328
           93.0         940.66         +20.12          62.95           11.5            200          417.9            329
           94.0         940.10         +20.07          63.08           11.5            200          423.1            331
           95.0         939.51         +20.01          63.24           11.6            200          428.5            334
           96.0         938.90         +19.96          63.47           11.6            200          434.1            338
           97.0         938.29         +19.90          63.61           11.6            200          439.7            341
           98.0         937.68         +19.84          63.91           11.7            200          445.3            344
           99.0         937.08         +19.79          64.13           11.7            200          450.9            346
          100.0         936.47         +19.70          64.34           11.7            200          456.5            348
          101.0         935.86         +19.65          64.66           11.8            200          462.1            350
          102.0         935.23         +19.57          64.67           11.8            200          467.9            352
          103.0         934.58         +19.51          64.84           11.9            200          473.9            355
          104.0         933.91         +19.52          64.88           11.9            200          480.1            358
          105.0         933.22         +19.46          64.99           12.0            200          486.5            359
          106.0         932.53         +19.37          65.25           12.1            200          492.9            361
          107.0         931.83         +19.33          65.44           12.1            200          499.3            363
          108.0         931.16         +19.27          65.53           12.2            200          505.5            365
          109.0         930.49         +19.22          65.77           12.3            201          511.7            367
          110.0         929.85         +19.16          65.94           12.4            201          517.7            370
          111.0         929.20         +19.09          66.27           12.5            201          523.7            371
          112.0         928.53         +19.04          66.51           12.5            201          529.8            373
          113.0         927.86         +18.96          66.76           12.6            201          536.0            374
          114.0         927.19         +18.90          66.97           12.7            201          542.2            375
          115.0         926.55         +18.86          67.03           12.8            201          548.2            377
          116.0         925.88         +18.79          67.24           12.9            202          554.4            379
          117.0         925.21         +18.74          67.38           13.0            202          560.6            380
          118.0         924.55         +18.68          67.57           13.0            202          566.8            381
          119.0         923.86         +18.62          67.70           13.1            202          573.2            381
          120.0         923.17         +18.56          67.79           13.2            202          579.6            380
          121.0         922.50         +18.50          67.99           13.2            202          585.8            379
          122.0         921.84         +18.42          68.26           13.3            202          592.0            377
          123.0         921.15         +18.40          68.56           13.4            202          598.4            374
          124.0         920.45         +18.34          68.65           13.4            203          605.0            371
          125.0         919.70         +18.26          68.84           13.5            203          612.0            369
          126.0         918.95         +18.18          69.00           13.6            203          619.0            366
          127.0         918.22         +18.13          69.12           13.7            203          625.8            363
          128.0         917.51         +18.06          69.26           13.7            203          632.4            359
          129.0         916.85         +18.02          69.41           13.8            203          638.6            355
          130.0         916.23         +17.98          69.40           13.9            203          644.4            350
          131.0         915.63         +17.93          69.38           13.9            204          650.0            347
          132.0         915.06         +17.89          69.46           14.0            204          655.4            344
          133.0         914.48         +17.83          69.69           14.0            204          660.7            341
          134.0         913.93         +17.79          69.94           14.0            204          665.9            337
          135.0         913.37         +17.75          69.90           14.1            204          671.1            331
          136.0         912.82         +17.69          70.07           14.1            204          676.3            325
          137.0         912.26         +17.66          70.26           14.1            204          681.5            319
          138.0         911.75         +17.60          70.32           14.2            204          686.3            313
          139.0         911.22         +17.56          70.55           14.2            204          691.3            309
          140.0         910.69         +17.52          70.67           14.2            205          696.3            307
          141.0         910.14         +17.44          70.92           14.2            205          701.5            304
          142.0         909.58         +17.40          71.13           14.2            205          706.7            302
          143.0         909.01         +17.35          71.39           14.2            205          712.1            301
          144.0         908.46         +17.30          71.58           14.2            205          717.3            301
          145.0         907.93         +17.24          71.74           14.2            205          722.3            299
          146.0         907.42         +17.18          71.90           14.2            205          727.1            298
          147.0         906.91         +17.15          72.13           14.2            205          731.9            297
          148.0         906.40         +17.11          72.22           14.2            205          736.7            297
          149.0         905.89         +17.07          72.36           14.2            205          741.5            296
          150.0         905.36         +17.01          72.47           14.2            205          746.5            296
          151.0         904.86         +16.96          72.76           14.2            205          751.3            296
          152.0         904.35         +16.92          72.89           14.2            205          756.1            295
          153.0         903.82         +16.87          72.96           14.2            205          761.1            295
          154.0         903.29         +16.84          73.18           14.2            205          766.1            295
          155.0         902.80         +16.80          73.29           14.2            206          770.7            296
          156.0         902.30         +16.73          73.39           14.2            206          775.5            298
          157.0         901.77         +16.69          73.70           14.3            206          780.5            300
          158.0         901.26         +16.66          73.84           14.3            206          785.2            302
          159.0         900.78         +16.62          73.89           14.3            206          789.8            305
          160.0         900.25         +16.56          73.93           14.3            206          794.8            308
          161.0         899.70         +16.53          73.92           14.4            206          800.0            311
          162.0         899.17         +16.51          73.84           14.4            206          805.0            316
