        GPM_AGL        FltTime          Press           Temp         RelHum         WSpeed          WDirn
              m              s            hPa             °C              %            m/s              °
---------------------------------------------------------------------------------------------------------
            0.0            0.0         981.76         +23.21          65.58            1.0            190
          199.9           44.3         959.49         +21.56          70.44           14.0            179
          399.7           82.2         937.62         +20.00          76.77           14.8            189
          799.4          162.4         895.00         +16.48          88.76           16.9            202
         1199.1          255.2         853.89         +14.21          82.71           17.6            218
         1598.7          356.0         814.34         +14.63          27.31           15.9            223
         1998.2          459.4         776.58         +12.47          20.28           16.0            233
         2397.7          557.5         740.17          +8.95          17.67           14.9            229
         2996.8          700.8         687.93          +3.53          32.42           19.0            243
         3995.2          918.3         607.38          -3.23           8.69           17.5            251
         4993.2         1183.4         534.15         -12.52          36.48           17.2            253
         5990.9         1367.7         468.02         -16.85          85.56           25.8            262
         7985.3         1704.2         356.08         -31.80          69.27           36.8            266
         9978.5         2152.0         266.06         -48.17          74.32           45.3            260
        11970.4         2590.0         195.02         -59.15          23.13           49.1            273
        13961.1         3035.4         141.85         -59.87          11.37           43.3            263
        17938.7         3889.2          74.14         -66.25          10.70           22.1            277
        21911.4         4698.2          38.50         -62.87           5.83            9.1            239
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
