        GPM_AGL        FltTime          Press           Temp         RelHum         WSpeed          WDirn
              m              s            hPa             °C              %            m/s              °
---------------------------------------------------------------------------------------------------------
            0.0            0.0         981.76         +23.21          65.58            1.0            190
          499.7          102.3         926.83         +19.09          80.52           15.4            194
          999.3          205.3         874.25         +15.35          85.34           17.9            210
         1498.8          330.7         824.07         +12.37          78.47           18.4            223
         1998.2          459.4         776.58         +12.47          20.28           16.0            233
         2497.6          581.3         731.27          +8.04          18.53           15.4            233
         2996.8          700.8         687.93          +3.53          32.42           19.0            243
         3496.0          818.4         646.65          +0.74          11.69           18.9            250
         3995.2          918.3         607.38          -3.23           8.69           17.5            251
         4494.2         1058.7         569.91          -7.91          31.50           14.0            254
         4993.2         1183.4         534.15         -12.52          36.48           17.2            253
         5492.1         1282.5         500.06         -16.02          81.88           17.3            265
         5990.9         1367.7         468.02         -16.85          85.56           25.8            262
         6489.6         1449.4         437.78         -19.95          82.78           29.1            263
         6988.2         1528.1         409.10         -23.91          80.48           28.8            265
         7486.8         1608.0         381.89         -27.84          78.48           30.3            265
         7985.3         1704.2         356.08         -31.80          69.27           36.8            266
         8483.7         1821.9         331.68         -35.40          65.61           34.9            260
         8982.1         1941.0         308.59         -39.26          68.25           40.1            259
         9480.3         2048.7         286.74         -43.58          69.82           43.3            256
         9978.5         2152.0         266.06         -48.17          74.32           45.3            260
        10476.6         2254.9         246.51         -51.78          62.73           50.2            262
        10974.6         2366.1         228.20         -53.69          21.38           51.3            267
        11472.6         2486.4         211.06         -57.02          29.92           52.5            270
        11970.4         2590.0         195.02         -59.15          23.13           49.1            273
        12468.2         2697.4         180.02         -62.00          25.86           46.2            270
        12965.9         2816.8         166.13         -58.29          19.32           41.6            267
        13463.6         2930.3         153.52         -57.70          10.66           40.7            266
        13961.1         3035.4         141.85         -59.87          11.37           43.3            263
        14458.6         3147.6         130.97         -60.97          11.21           41.3            270
        14956.0         3249.9         120.89         -61.24          11.49           36.8            271
        15453.3         3340.5         111.53         -63.73          11.06           33.7            256
        15950.5         3447.7         102.81         -63.45          11.99           41.5            254
        16447.7         3558.8          94.82         -63.08          10.74           29.2            271
        16944.8         3661.1          87.42         -65.85          10.14           22.2            275
        17441.8         3769.9          80.50         -68.09          11.24           24.3            266
        17938.7         3889.2          74.14         -66.25          10.70           22.1            277
        18435.6         3995.2          68.28         -67.36           9.61           14.5            265
        18932.3         4094.2          62.86         -67.92          10.76           19.5            246
        19429.0         4195.3          57.90         -66.05          10.41           19.9            266
        19925.7         4301.8          53.35         -66.10           8.99           15.1            277
        20422.2         4398.4          49.15         -65.61           8.52           10.0            250
        20918.7         4491.2          45.28         -66.52           8.05           10.2            241
        21415.0         4594.0          41.72         -62.87           8.43           12.8            260
        21911.4         4698.2          38.50         -62.87           5.83            9.1            239
